Compound,Date,Negative,Neutral,Positive,Screen_Name
0.128,Fri Nov 24 19:40:07 +0000 2017,0.919,0.0,0.081,CNN
-0.5859,Fri Nov 24 19:30:18 +0000 2017,0.789,0.211,0.0,CNN
0.34,Fri Nov 24 19:20:10 +0000 2017,0.847,0.048,0.105,CNN
0.0,Fri Nov 24 19:10:08 +0000 2017,1.0,0.0,0.0,CNN
0.0,Fri Nov 24 19:00:16 +0000 2017,1.0,0.0,0.0,CNN
0.0,Fri Nov 24 18:50:06 +0000 2017,1.0,0.0,0.0,CNN
0.0,Fri Nov 24 21:11:06 +0000 2017,1.0,0.0,0.0,nytimes
0.4939,Fri Nov 24 21:00:44 +0000 2017,0.833,0.0,0.167,nytimes
0.4588,Fri Nov 24 20:44:05 +0000 2017,0.833,0.0,0.167,nytimes
0.5267,Fri Nov 24 20:30:24 +0000 2017,0.871,0.0,0.129,nytimes
0.5709,Fri Nov 24 20:15:09 +0000 2017,0.844,0.0,0.156,nytimes
-0.8402,Fri Nov 24 20:00:12 +0000 2017,0.667,0.333,0.0,nytimes
0.4404,Fri Nov 24 19:51:07 +0000 2017,0.879,0.0,0.121,nytimes
0.5106,Fri Nov 24 19:46:05 +0000 2017,0.823,0.0,0.177,nytimes
0.7184,Fri Nov 24 19:30:17 +0000 2017,0.739,0.0,0.261,nytimes
-0.5214,Fri Nov 24 19:14:07 +0000 2017,0.842,0.158,0.0,nytimes
0.0258,Fri Nov 24 19:00:20 +0000 2017,0.751,0.123,0.126,nytimes
0.6369,Fri Nov 24 18:45:10 +0000 2017,0.856,0.0,0.144,nytimes
-0.34,Fri Nov 24 18:39:24 +0000 2017,0.888,0.112,0.0,nytimes
0.807,Fri Nov 24 18:30:12 +0000 2017,0.657,0.0,0.343,nytimes
0.25,Fri Nov 24 18:16:01 +0000 2017,0.726,0.094,0.179,nytimes
-0.5106,Fri Nov 24 17:59:04 +0000 2017,0.829,0.171,0.0,nytimes
-0.4588,Fri Nov 24 17:44:02 +0000 2017,0.787,0.153,0.06,nytimes
-0.296,Fri Nov 24 17:30:05 +0000 2017,0.784,0.216,0.0,nytimes
